model,factor,level,coef,relativity,std_err,z,p_value,is_base,degenerate
frequency,DrivAgeBand,31-40,-0.4999582794796787,0.606555965015219,0.048194916956599526,-10.373672392254582,3.2672199781065464e-25,False,False
frequency,DrivAgeBand,41-50,-0.16214440089115487,0.850318408938533,0.04845623750312113,-3.346202867705338,0.0008192643224312723,False,False
frequency,DrivAgeBand,51-60,-0.21167110293450989,0.8092308074405941,0.04906207977350713,-4.314352426796417,1.6007141718893363e-05,False,False
frequency,DrivAgeBand,61-70,-0.2281708332992953,0.7959882669178872,0.050962125245798094,-4.4772629123842975,7.560611761754694e-06,False,False
frequency,DrivAgeBand,71+,-0.1584617597102497,0.8534555995563454,0.05237539645182544,-3.025499956950241,0.002482224399877362,False,False
frequency,BonusMalusBand,51-60,0.2924679081644746,1.339729741487488,0.01951693517056746,14.985339942386611,9.155591498691239e-51,False,False
frequency,BonusMalusBand,61-80,0.6735010823109047,1.9610912574479404,0.017466695151432354,38.55915938715369,0.0,False,False
frequency,BonusMalusBand,81-100,0.9440241307623592,2.5703038738313726,0.02134421463831632,44.228571852331505,0.0,False,False
frequency,BonusMalusBand,101-150,1.7301973032415134,5.641766937527223,0.03357082662885923,51.538716111153065,0.0,False,False
frequency,VehBrand,B10,0.048055528343529115,1.0492289156505747,0.04102225512369041,1.171450184750496,0.2414178702402643,False,False
frequency,VehBrand,B11,0.08871467682151754,1.0927688195683725,0.04450132548698384,1.9935288634821815,0.04620356618186052,False,False
frequency,VehBrand,B12,0.14696587121314475,1.1583144304889508,0.020416905394976363,7.198244218210763,6.099283049244035e-13,False,False
frequency,VehBrand,B13,0.06181014013603627,1.0637603601569894,0.04564228234945229,1.3542298271326039,0.1756630658503121,False,False
frequency,VehBrand,B14,-0.08649103685050571,0.9171437692445765,0.08571171447016192,-1.0090923671887941,0.31293033823116667,False,False
frequency,VehBrand,B2,-0.015454460858076906,0.9846643465001653,0.01721014540156952,-0.8979854903879836,0.36919328499827453,False,False
frequency,VehBrand,B3,-0.007454676865617245,0.9925730403209799,0.02455288452574614,-0.3036171516955686,0.7614195829246613,False,False
