factor,level,policies,exposure,claimnb,freq_hat,actual_loss,model_premium,n_claims,claim_amount,obs_frequency,pred_frequency,obs_severity,pred_severity,loss_ratio
VehBrand,B6,5710,3104.428118862,294,288.7187091716212,377396.51,447012.2391921983,252,377396.51,0.09470343288469263,0.09300222073669973,1497.6051984126984,1548.2621146192635,0.8442643778210597
VehGas,Diesel,66522,34192.40692859,3277,3358.26502873515,5780489.39,5683302.103146313,2650,5780489.39,0.09583999180999261,0.09821668991448318,2181.316750943396,1692.3328130796335,1.0171004963469887
VehGas,Regular,69081,37391.195712168,3948,3857.5761825570726,5275201.28,6589434.948887162,2662,5275201.28,0.10558635327928882,0.10316803485644413,1981.668399699474,1708.1801206371047,0.8005544209660781
Region,Alsace,439,242.120951418,28,26.48721615839839,25743.77,37707.334204137966,23,25743.77,0.11564468021464414,0.10939663008621917,1119.294347826087,1423.6050319007186,0.6827258023765282
Region,Aquitaine,6127,2784.835028062,273,262.8158517672788,328387.73,460208.926875234,215,328387.73,0.09803094159943253,0.09437393925275907,1527.3847906976744,1751.0698984882583,0.7135622775284155
Region,Auvergne,1019,448.700358558,38,37.161850985532865,38050.72,49202.28258051269,30,38050.72,0.08468903417443567,0.08282108600260733,1268.3573333333334,1323.9997813797588,0.7733527390265947
Region,Basse-Normandie,2246,1374.680405717,127,129.8352890889619,185034.8,215239.49544572525,87,185034.8,0.09238510963845438,0.0944476174600328,2126.8367816091954,1657.788856604657,0.859669363268222
Region,Bourgogne,2110,1009.614918777,89,105.28554817122955,115427.15999999999,190360.57330719373,59,115427.16,0.08815242162606948,0.10428287678114692,1956.3925423728815,1808.0408623375708,0.6063606449310793
Region,Bretagne,8446,5566.909520907,530,544.3258019742464,625877.41,915071.8312690847,357,625877.41,0.09520542735777186,0.09777881245060382,1753.158011204482,1681.1105186455582,0.6839653332263437
Region,Centre,32295,20592.985237628,1861,1840.0547926853903,2855437.0,2998008.2686895207,1313,2855437.0,0.09037057903579399,0.08935347505242697,2174.7425742574255,1629.3038014994129,0.9524446712911032
Region,Champagne-Ardenne,611,245.461917808,28,35.366069982729094,394925.13,48911.741871957274,14,394925.13,0.11407064790352353,0.1440796613118308,28208.937857142857,1383.0132071740843,8.074239740507457
Region,Corse,889,352.662869226,48,51.06701680396988,57831.82,116674.53879519767,27,57831.82,0.1361073256885452,0.14480406433500703,2141.9192592592594,2284.733788994848,0.495667868904234
Region,Franche-Comte,272,107.858204207,13,10.854904696519451,14300.38,24568.950553788916,10,14300.380000000001,0.12052861528317843,0.10064051016171997,1430.038,2263.396247197525,0.5820509088775327
Region,Haute-Normandie,1761,631.082002394,71,57.72867310261429,84811.26,84895.56443845037,50,84811.26,0.11250518907315146,0.09147570820213766,1696.2251999999999,1470.5961505047273,0.9990069629784781
Region,Ile-de-France,13906,6043.668163017,836,791.8539416527158,948342.34,1283015.049178723,527,948342.34,0.13832658866278136,0.1310220747224848,1799.5110815939279,1620.267301443094,0.7391513767566857
Region,Languedoc-Roussillon,7211,2947.779578555,307,299.26248688752935,375457.72,563299.7513335682,235,375457.72,0.10414618590664476,0.10152132441131424,1597.6924255319148,1882.2932242265,0.666532728109915
Region,Limousin,904,472.128318736,54,49.500760767149885,79980.2,67781.33306981387,45,79980.2,0.11437568528947992,0.1048459895387661,1777.3377777777778,1369.298815197109,1.1799738420255241
Region,Midi-Pyrenees,3511,1436.217962419,139,143.69631040994673,93357.39,225591.79471871388,75,93357.39,0.0967819673873765,0.10005188221425752,1244.7652,1569.920578163281,0.4138332695850288
Region,Nord-Pas-de-Calais,7963,3849.590171416,297,368.100044612088,428673.58,639470.7612539852,240,428673.58,0.07715106979576325,0.09562057991141672,1786.1399166666667,1737.2200047622207,0.6703568106216186
Region,Pays-de-la-Loire,7705,4366.752943326,377,402.65900422964387,362534.23,665450.5048513497,292,362534.23,0.08633417207085056,0.09221016381177564,1241.5555821917808,1652.6403181383498,0.5447951836492843
Region,Picardie,1593,710.806707086,83,87.32392688230748,108936.32,141598.39437726818,58,108936.31999999999,0.11676873497756388,0.12285186114843767,1878.2124137931032,1621.5303117106744,0.7693330173628603
Region,Poitou-Charentes,3806,2223.101747877,195,190.87048737498642,273501.78,299987.07432517974,169,273501.77999999997,0.087715283471042,0.08585773798129681,1618.3537278106508,1571.6786730670497,0.9117118816377061
Region,Provence-Alpes-Cotes-D'Azur,15963,7209.482613954,826,782.8989996401178,2013046.04,1565701.0683722426,651,2013046.04,0.11457132837816568,0.10859295202748832,3092.2366205837175,1999.876189766448,1.285715441257783
